employee_id,rank,location,nationality,manager,department,grade_level,contract_type,flight_type,performance_flag,tenure_years,engage_sentiment_score,absence_days_past_6_months,engage_sentiment,nps_valid_from,sentiment_valid_from,crewnps
78fe59f7-e0d1-46b9-b98d-6b5ab037a9e5,Flight Manager,Jeddah,USA,Manager 1,Training,G1,Contract,Long-haul,Meets Expectations,24.3,2.3,2,unfavorable,2024-11-09,2024-08-19,53.86
78fe59f7-e0d1-46b9-b98d-6b5ab037a9e5,Cabin Crew,Dammam,INDIA,Manager 19,Training,G3,Full-time,Mixed,High Performer,5.2,4.26,3,favorable,2024-11-27,2024-07-07,55.83
78fe59f7-e0d1-46b9-b98d-6b5ab037a9e5,Cabin Manager,Dammam,INDIA,Manager 11,Inflight,G1,Part-time,Mixed,Meets Expectations,0.6,2.61,2,neutral,2024-02-10,2024-12-25,30.0
e924eb78-7be5-42e3-a558-48d1890a7670,Cabin Manager,Abu Dhabi,UK,Manager 15,Inflight,G3,Contract,Mixed,Low Performer,9.3,3.24,0,neutral,2024-03-02,2023-09-19,42.23
e924eb78-7be5-42e3-a558-48d1890a7670,Cabin Manager,Jeddah,INDIA,Manager 11,Operations,G3,Part-time,Long-haul,Low Performer,17.0,1.7,2,unfavorable,2024-05-17,2024-03-12,30.0
e924eb78-7be5-42e3-a558-48d1890a7670,Cabin Crew,Dammam,UAE,Manager 19,Operations,G1,Part-time,Short-haul,Meets Expectations,6.2,4.68,5,favorable,2024-06-02,2024-10-31,44.1
e924eb78-7be5-42e3-a558-48d1890a7670,Cabin Crew,Dammam,PHILIPPINES,Manager 10,Inflight,G1,Part-time,Mixed,Meets Expectations,2.7,3.81,4,favorable,2023-06-17,2023-10-05,38.89
f427a9ca-5288-4645-871e-a185b1d75570,Cabin Crew,Jeddah,INDIA,Manager 12,Training,G1,Full-time,Mixed,Meets Expectations,14.8,4.44,3,favorable,2024-01-03,2024-09-20,66.91
f427a9ca-5288-4645-871e-a185b1d75570,Flight Manager,Abu Dhabi,USA,Manager 1,Training,G1,Contract,Short-haul,Meets Expectations,17.3,1.83,2,unfavorable,2023-06-17,2024-07-12,32.17
f427a9ca-5288-4645-871e-a185b1d75570,Cabin Crew,Dammam,CANADA,Manager 7,Ground Services,G2,Part-time,Mixed,Meets Expectations,13.7,1.27,1,unfavorable,2024-05-12,2023-04-08,30.0
f427a9ca-5288-4645-871e-a185b1d75570,Cabin Crew,Riyadh,CANADA,Manager 17,Operations,G2,Part-time,Short-haul,Meets Expectations,2.7,2.35,1,unfavorable,2024-12-06,2024-09-12,30.0
d9f82170-aea1-4e11-a946-5c79cc0f4488,Cabin Crew,Dammam,CANADA,Manager 10,Operations,G1,Part-time,Long-haul,Meets Expectations,7.8,3.07,0,neutral,2024-10-31,2024-02-01,54.88
d9f82170-aea1-4e11-a946-5c79cc0f4488,Cabin Crew,Riyadh,UAE,Manager 6,Operations,G2,Full-time,Short-haul,Meets Expectations,5.3,4.21,2,favorable,2023-04-04,2023-11-15,54.52
d9f82170-aea1-4e11-a946-5c79cc0f4488,Cabin Crew,Abu Dhabi,USA,Manager 17,Ground Services,G1,Part-time,Short-haul,Meets Expectations,1.0,2.59,2,neutral,2024-01-22,2024-10-28,30.09
d9f82170-aea1-4e11-a946-5c79cc0f4488,Cabin Crew,Dammam,UAE,Manager 18,Ground Services,G1,Full-time,Long-haul,High Performer,3.8,2.08,2,unfavorable,2023-08-01,2024-12-22,30.0
a6660c01-de62-4ff9-a977-c246a5f8d854,Cabin Crew,Jeddah,INDIA,Manager 5,Training,G3,Full-time,Mixed,High Performer,6.9,2.49,1,unfavorable,2024-09-09,2024-10-19,37.62
a6660c01-de62-4ff9-a977-c246a5f8d854,Cabin Crew,Jeddah,PHILIPPINES,Manager 18,Inflight,G1,Part-time,Long-haul,High Performer,11.3,3.81,2,favorable,2023-10-18,2024-11-28,61.65
a6660c01-de62-4ff9-a977-c246a5f8d854,Cabin Manager,Dammam,CANADA,Manager 17,Inflight,G1,Part-time,Mixed,High Performer,9.9,2.34,2,unfavorable,2023-07-30,2024-07-25,41.42
a6660c01-de62-4ff9-a977-c246a5f8d854,Cabin Crew,Abu Dhabi,USA,Manager 16,Inflight,G1,Full-time,Mixed,Meets Expectations,0.8,4.92,1,favorable,2023-10-23,2024-07-15,67.09
9f8d2693-2d9b-420a-ab44-f2874b5d11fd,Cabin Manager,Abu Dhabi,CANADA,Manager 8,Training,G1,Full-time,Short-haul,Low Performer,3.3,1.7,4,unfavorable,2024-02-06,2024-11-29,30.0
9f8d2693-2d9b-420a-ab44-f2874b5d11fd,Cabin Crew,Jeddah,UAE,Manager 13,Inflight,G3,Part-time,Long-haul,High Performer,3.3,4.01,4,favorable,2023-07-14,2023-12-12,57.56
9f8d2693-2d9b-420a-ab44-f2874b5d11fd,Cabin Crew,Dammam,UK,Manager 16,Ground Services,G1,Full-time,Short-haul,Meets Expectations,11.5,3.36,1,neutral,2024-05-28,2024-08-22,44.68
9f8d2693-2d9b-420a-ab44-f2874b5d11fd,Cabin Manager,Abu Dhabi,INDIA,Manager 11,Ground Services,G3,Full-time,Long-haul,Meets Expectations,0.0,1.93,4,unfavorable,2024-07-03,2024-08-21,30.0
9f8d2693-2d9b-420a-ab44-f2874b5d11fd,Cabin Crew,Jeddah,PHILIPPINES,Manager 6,Operations,G1,Part-time,Long-haul,High Performer,6.7,4.01,3,favorable,2023-05-21,2024-11-09,55.76
d46fa8ec-9629-47e5-a718-305fea651b41,Cabin Crew,Riyadh,INDIA,Manager 3,Inflight,G3,Part-time,Short-haul,Meets Expectations,4.8,2.79,0,neutral,2023-11-09,2023-12-17,46.59
d46fa8ec-9629-47e5-a718-305fea651b41,Cabin Crew,Dammam,UK,Manager 1,Ground Services,G2,Contract,Mixed,Meets Expectations,12.7,3.73,0,favorable,2024-11-25,2023-07-10,53.01
5f766ef0-4d33-49f3-a94b-b8f8a465ae7b,Cabin Manager,Riyadh,PHILIPPINES,Manager 18,Operations,G3,Part-time,Mixed,Meets Expectations,3.1,3.65,6,favorable,2024-05-05,2024-01-20,43.17
5f766ef0-4d33-49f3-a94b-b8f8a465ae7b,Cabin Crew,Riyadh,UK,Manager 5,Inflight,G3,Part-time,Long-haul,Low Performer,5.4,1.44,3,unfavorable,2023-10-30,2024-10-21,30.0
5f766ef0-4d33-49f3-a94b-b8f8a465ae7b,Cabin Manager,Abu Dhabi,INDIA,Manager 13,Inflight,G1,Part-time,Mixed,High Performer,18.0,4.36,1,favorable,2024-11-12,2024-06-02,77.87
5f766ef0-4d33-49f3-a94b-b8f8a465ae7b,Cabin Crew,Abu Dhabi,UAE,Manager 10,Ground Services,G3,Contract,Short-haul,Meets Expectations,6.8,3.73,2,favorable,2024-02-11,2023-10-10,58.57
5f766ef0-4d33-49f3-a94b-b8f8a465ae7b,Cabin Crew,Abu Dhabi,INDIA,Manager 5,Operations,G3,Full-time,Short-haul,High Performer,0.3,4.12,4,favorable,2023-08-25,2024-12-03,58.51
857d433f-7b87-48a5-b5a5-5f396a92af78,Cabin Crew,Dammam,INDIA,Manager 14,Operations,G1,Part-time,Short-haul,High Performer,0.9,2.79,2,neutral,2023-11-29,2024-12-31,40.3
857d433f-7b87-48a5-b5a5-5f396a92af78,Cabin Crew,Riyadh,INDIA,Manager 17,Ground Services,G2,Part-time,Long-haul,Meets Expectations,8.6,1.78,5,unfavorable,2023-05-07,2024-02-27,30.0
857d433f-7b87-48a5-b5a5-5f396a92af78,Cabin Crew,Dammam,USA,Manager 1,Ground Services,G2,Contract,Long-haul,Meets Expectations,2.0,2.3,1,unfavorable,2024-07-28,2023-09-28,30.0
857d433f-7b87-48a5-b5a5-5f396a92af78,Cabin Crew,Abu Dhabi,UK,Manager 2,Ground Services,G2,Contract,Mixed,Meets Expectations,6.1,4.61,4,favorable,2023-06-07,2024-06-15,55.12
857d433f-7b87-48a5-b5a5-5f396a92af78,Cabin Crew,Riyadh,UK,Manager 7,Inflight,G3,Contract,Short-haul,High Performer,6.0,4.75,0,favorable,2023-12-14,2024-04-17,71.49
9b2fdcf9-af3d-4b20-96c0-84681166c4f6,Cabin Manager,Dammam,CANADA,Manager 10,Ground Services,G1,Full-time,Short-haul,Meets Expectations,25.3,2.93,2,neutral,2023-12-27,2024-08-02,57.81
9b2fdcf9-af3d-4b20-96c0-84681166c4f6,Cabin Crew,Dammam,UK,Manager 20,Ground Services,G2,Contract,Long-haul,High Performer,3.2,2.2,2,unfavorable,2024-04-28,2023-12-09,33.0
9b2fdcf9-af3d-4b20-96c0-84681166c4f6,Cabin Crew,Jeddah,CANADA,Manager 7,Training,G2,Full-time,Long-haul,Meets Expectations,6.7,3.92,1,favorable,2024-02-05,2023-04-09,61.6
9b2fdcf9-af3d-4b20-96c0-84681166c4f6,Cabin Manager,Dammam,USA,Manager 16,Ground Services,G2,Part-time,Long-haul,Meets Expectations,0.2,4.06,1,favorable,2024-09-13,2023-04-08,73.22
9b2fdcf9-af3d-4b20-96c0-84681166c4f6,Cabin Crew,Abu Dhabi,UAE,Manager 5,Ground Services,G2,Part-time,Short-haul,High Performer,3.1,4.26,2,favorable,2024-09-29,2024-05-30,72.42
f48bde9e-4e62-4c95-8027-ea08430ad744,Cabin Crew,Dammam,CANADA,Manager 12,Inflight,G1,Part-time,Short-haul,Low Performer,1.0,1.12,2,unfavorable,2023-10-25,2024-07-31,30.0
f48bde9e-4e62-4c95-8027-ea08430ad744,Cabin Manager,Riyadh,INDIA,Manager 17,Operations,G2,Contract,Mixed,Meets Expectations,9.2,1.04,3,unfavorable,2024-06-03,2024-07-21,30.0
f48bde9e-4e62-4c95-8027-ea08430ad744,Cabin Manager,Dammam,UAE,Manager 16,Inflight,G3,Part-time,Short-haul,Low Performer,9.2,2.43,0,unfavorable,2024-01-08,2023-06-10,39.54
f48bde9e-4e62-4c95-8027-ea08430ad744,Cabin Crew,Jeddah,USA,Manager 20,Training,G3,Contract,Mixed,High Performer,1.3,1.61,2,unfavorable,2023-05-21,2024-12-06,30.0
8f0f8ab3-9d55-4b1d-8f2a-530151b61c43,Cabin Manager,Riyadh,UK,Manager 16,Ground Services,G1,Full-time,Mixed,High Performer,1.9,4.22,1,favorable,2024-09-23,2023-11-04,66.45
8f0f8ab3-9d55-4b1d-8f2a-530151b61c43,Cabin Crew,Riyadh,CANADA,Manager 19,Ground Services,G2,Part-time,Short-haul,High Performer,6.1,3.13,1,neutral,2024-04-30,2023-09-13,59.33
8f0f8ab3-9d55-4b1d-8f2a-530151b61c43,Cabin Crew,Jeddah,INDIA,Manager 15,Ground Services,G2,Full-time,Mixed,Meets Expectations,6.7,4.3,4,favorable,2023-09-08,2024-08-29,50.55
5507110c-90ef-4998-9059-26a5f166a045,Cabin Crew,Abu Dhabi,PHILIPPINES,Manager 12,Ground Services,G3,Contract,Mixed,Meets Expectations,5.4,1.71,0,unfavorable,2023-11-09,2023-08-18,30.0
5507110c-90ef-4998-9059-26a5f166a045,Flight Manager,Riyadh,PHILIPPINES,Manager 10,Ground Services,G1,Contract,Long-haul,Meets Expectations,28.6,3.51,5,favorable,2024-11-05,2023-06-03,66.08
a9cfacd2-133c-4d70-ae26-5e568edefff5,Cabin Crew,Abu Dhabi,UAE,Manager 2,Ground Services,G3,Part-time,Short-haul,Meets Expectations,10.2,3.32,0,neutral,2024-03-15,2024-04-20,56.69
a9cfacd2-133c-4d70-ae26-5e568edefff5,Cabin Crew,Riyadh,UK,Manager 7,Training,G1,Part-time,Mixed,Meets Expectations,2.7,2.36,1,unfavorable,2024-09-24,2023-04-07,30.0
a9cfacd2-133c-4d70-ae26-5e568edefff5,Cabin Crew,Riyadh,PHILIPPINES,Manager 13,Ground Services,G1,Contract,Mixed,Meets Expectations,2.0,3.07,5,neutral,2024-03-05,2024-07-14,36.39
4f524feb-08ac-498e-8439-e720f76b4d15,Cabin Crew,Abu Dhabi,UAE,Manager 3,Ground Services,G1,Part-time,Mixed,Meets Expectations,4.5,3.36,6,neutral,2023-12-07,2023-07-05,30.0
4f524feb-08ac-498e-8439-e720f76b4d15,Cabin Crew,Riyadh,USA,Manager 15,Ground Services,G3,Part-time,Short-haul,High Performer,8.5,4.56,2,favorable,2023-11-08,2024-07-13,69.82
4f524feb-08ac-498e-8439-e720f76b4d15,Cabin Crew,Abu Dhabi,UAE,Manager 1,Training,G1,Full-time,Long-haul,High Performer,3.2,1.22,2,unfavorable,2023-10-27,2024-03-08,30.27
4f524feb-08ac-498e-8439-e720f76b4d15,Cabin Crew,Jeddah,UAE,Manager 3,Ground Services,G3,Contract,Long-haul,High Performer,6.7,4.29,4,favorable,2024-05-21,2024-02-23,57.96
4f524feb-08ac-498e-8439-e720f76b4d15,Cabin Crew,Abu Dhabi,UAE,Manager 10,Training,G3,Full-time,Short-haul,Meets Expectations,0.1,4.92,3,favorable,2024-11-21,2024-06-06,62.33
c7de418f-bd47-4b92-9af7-0e45692c4d03,Cabin Crew,Jeddah,INDIA,Manager 15,Inflight,G2,Part-time,Short-haul,Meets Expectations,13.0,3.93,2,favorable,2024-01-19,2024-04-06,65.24
c7de418f-bd47-4b92-9af7-0e45692c4d03,Cabin Crew,Riyadh,UAE,Manager 6,Ground Services,G3,Full-time,Short-haul,Meets Expectations,7.4,3.95,5,favorable,2024-02-01,2024-12-03,52.57
c7de418f-bd47-4b92-9af7-0e45692c4d03,Cabin Crew,Abu Dhabi,CANADA,Manager 20,Operations,G3,Contract,Short-haul,Meets Expectations,2.5,1.87,0,unfavorable,2024-08-24,2024-10-18,30.0
c7de418f-bd47-4b92-9af7-0e45692c4d03,Cabin Crew,Riyadh,UAE,Manager 15,Training,G2,Full-time,Long-haul,Meets Expectations,2.4,3.09,3,neutral,2024-01-06,2024-09-19,37.86
c7de418f-bd47-4b92-9af7-0e45692c4d03,Cabin Manager,Abu Dhabi,INDIA,Manager 7,Inflight,G2,Full-time,Mixed,High Performer,0.5,3.82,2,favorable,2024-01-14,2024-11-21,57.08
a1400fe6-1637-495e-9b02-fe6efb926718,Cabin Crew,Jeddah,INDIA,Manager 5,Training,G2,Part-time,Mixed,Low Performer,8.5,3.41,1,neutral,2024-05-19,2024-05-29,54.04
a1400fe6-1637-495e-9b02-fe6efb926718,Cabin Crew,Jeddah,USA,Manager 4,Training,G1,Contract,Short-haul,Meets Expectations,7.3,2.54,3,neutral,2024-11-01,2024-06-10,41.02
a1400fe6-1637-495e-9b02-fe6efb926718,Cabin Crew,Abu Dhabi,UK,Manager 18,Inflight,G1,Part-time,Short-haul,Low Performer,5.0,4.76,3,favorable,2024-10-05,2023-04-11,58.25
26cf2cca-97a5-4fb1-bb28-1148b28e0f75,Cabin Crew,Jeddah,PHILIPPINES,Manager 3,Ground Services,G2,Part-time,Mixed,Meets Expectations,0.5,3.06,2,neutral,2023-04-28,2023-10-15,42.95
26cf2cca-97a5-4fb1-bb28-1148b28e0f75,Cabin Crew,Riyadh,PHILIPPINES,Manager 17,Ground Services,G1,Contract,Long-haul,Low Performer,1.5,4.88,0,favorable,2024-07-24,2023-05-29,63.75
26cf2cca-97a5-4fb1-bb28-1148b28e0f75,Cabin Crew,Riyadh,UAE,Manager 18,Training,G2,Full-time,Short-haul,Meets Expectations,3.1,3.26,3,neutral,2023-05-11,2023-09-19,38.48
aad2cc96-3403-4917-a772-be50ea9b1bcf,Cabin Crew,Dammam,USA,Manager 18,Inflight,G1,Part-time,Short-haul,Meets Expectations,1.5,4.17,1,favorable,2023-06-26,2024-10-24,63.86
aad2cc96-3403-4917-a772-be50ea9b1bcf,Cabin Crew,Jeddah,UAE,Manager 2,Ground Services,G3,Full-time,Long-haul,Meets Expectations,2.8,3.97,2,favorable,2023-12-11,2023-12-15,59.43
aad2cc96-3403-4917-a772-be50ea9b1bcf,Cabin Crew,Riyadh,PHILIPPINES,Manager 13,Training,G1,Contract,Long-haul,Meets Expectations,1.3,3.64,3,favorable,2023-06-27,2023-12-22,47.35
9d36bd7c-d889-4082-aaa6-1b9ce36f26f1,Cabin Crew,Abu Dhabi,INDIA,Manager 15,Operations,G1,Part-time,Long-haul,Meets Expectations,2.2,1.06,0,unfavorable,2024-10-15,2023-12-23,30.0
9d36bd7c-d889-4082-aaa6-1b9ce36f26f1,Cabin Crew,Jeddah,UK,Manager 5,Inflight,G3,Full-time,Short-haul,Meets Expectations,5.3,1.31,1,unfavorable,2024-09-09,2024-02-14,30.0
9d36bd7c-d889-4082-aaa6-1b9ce36f26f1,Cabin Crew,Riyadh,USA,Manager 3,Operations,G2,Full-time,Long-haul,Low Performer,11.1,3.33,2,neutral,2023-04-16,2023-08-03,44.51
9d36bd7c-d889-4082-aaa6-1b9ce36f26f1,Cabin Crew,Jeddah,INDIA,Manager 5,Operations,G1,Part-time,Short-haul,High Performer,2.4,4.65,1,favorable,2023-10-19,2024-12-13,75.07
9d36bd7c-d889-4082-aaa6-1b9ce36f26f1,Cabin Crew,Abu Dhabi,UK,Manager 5,Training,G1,Contract,Short-haul,Meets Expectations,5.9,3.4,1,neutral,2024-11-22,2024-12-18,47.31
70aaeee4-5178-4bd0-9a22-925f33bb2e77,Cabin Crew,Riyadh,USA,Manager 5,Inflight,G3,Full-time,Long-haul,Meets Expectations,0.7,1.94,3,unfavorable,2024-12-15,2024-08-22,30.0
70aaeee4-5178-4bd0-9a22-925f33bb2e77,Cabin Crew,Dammam,USA,Manager 3,Ground Services,G3,Contract,Mixed,High Performer,3.9,2.28,4,unfavorable,2023-08-30,2024-02-02,32.38
70aaeee4-5178-4bd0-9a22-925f33bb2e77,Cabin Manager,Dammam,PHILIPPINES,Manager 3,Ground Services,G3,Part-time,Long-haul,Meets Expectations,12.7,3.49,3,neutral,2023-12-17,2024-04-12,48.86
70aaeee4-5178-4bd0-9a22-925f33bb2e77,Cabin Crew,Jeddah,INDIA,Manager 20,Training,G3,Full-time,Mixed,High Performer,0.1,3.39,2,neutral,2023-04-05,2024-04-21,50.06
70aaeee4-5178-4bd0-9a22-925f33bb2e77,Cabin Crew,Abu Dhabi,USA,Manager 18,Ground Services,G2,Full-time,Long-haul,High Performer,1.6,4.82,2,favorable,2024-07-05,2024-07-09,70.11
feb7e7d6-b6ae-4bd1-934f-fb035b65dfdf,Cabin Manager,Riyadh,CANADA,Manager 20,Ground Services,G1,Full-time,Long-haul,Meets Expectations,0.7,3.12,6,neutral,2024-07-06,2023-05-11,30.0
feb7e7d6-b6ae-4bd1-934f-fb035b65dfdf,Cabin Manager,Abu Dhabi,USA,Manager 4,Operations,G1,Contract,Short-haul,High Performer,3.8,2.42,3,unfavorable,2023-05-31,2023-07-08,31.82
ab437b76-9416-4e41-961f-b1815f58ffe4,Cabin Crew,Riyadh,UK,Manager 1,Operations,G1,Full-time,Short-haul,Meets Expectations,5.7,3.1,0,neutral,2023-06-02,2023-08-04,38.37
ab437b76-9416-4e41-961f-b1815f58ffe4,Cabin Crew,Jeddah,PHILIPPINES,Manager 16,Inflight,G1,Full-time,Short-haul,Meets Expectations,0.3,4.14,3,favorable,2023-08-05,2024-11-26,47.71
5f9c9f28-065c-4379-b21e-41bec1d7495b,Cabin Manager,Riyadh,UAE,Manager 8,Operations,G2,Part-time,Short-haul,High Performer,0.4,3.16,2,neutral,2023-12-02,2023-09-05,54.04
5f9c9f28-065c-4379-b21e-41bec1d7495b,Cabin Manager,Abu Dhabi,PHILIPPINES,Manager 17,Ground Services,G1,Full-time,Short-haul,High Performer,10.2,2.3,1,unfavorable,2023-12-18,2023-07-01,45.29
5f9c9f28-065c-4379-b21e-41bec1d7495b,Cabin Crew,Abu Dhabi,UAE,Manager 8,Inflight,G2,Contract,Short-haul,Meets Expectations,3.0,2.35,3,unfavorable,2024-02-15,2023-08-27,30.0
5f9c9f28-065c-4379-b21e-41bec1d7495b,Cabin Crew,Jeddah,INDIA,Manager 7,Inflight,G2,Part-time,Short-haul,Meets Expectations,3.1,4.03,1,favorable,2023-12-03,2024-09-06,55.13
5f9c9f28-065c-4379-b21e-41bec1d7495b,Cabin Crew,Abu Dhabi,INDIA,Manager 8,Training,G3,Part-time,Mixed,Meets Expectations,14.5,1.27,4,unfavorable,2023-09-08,2024-09-19,30.0
62ed7471-795f-4040-8c79-6a5f648541ef,Cabin Crew,Riyadh,USA,Manager 12,Operations,G3,Full-time,Mixed,Meets Expectations,1.9,2.1,2,unfavorable,2024-01-27,2024-01-02,30.9
62ed7471-795f-4040-8c79-6a5f648541ef,Cabin Crew,Jeddah,CANADA,Manager 16,Inflight,G1,Part-time,Short-haul,Meets Expectations,11.4,1.61,1,unfavorable,2024-10-25,2024-01-27,30.0
